instance,run,algorithm,seed,GD,IGD,runtime_s_total,nd_size
sdmk01,1,EDA-TS,20270409,0.0,12.37380746218039,3.998298406600952,2
sdmk01,1,EDA-TS_no_m,20270409,31.184932259025352,77.88523318953949,3.998298406600952,2
sdmk01,1,EDA-TS_no_n,20270409,0.4330127018922193,12.707140795513723,3.998298406600952,4
sdmk01,1,EDA-TS_no_mn,20270409,97.62171889492625,139.6637608766558,3.998298406600952,1
sdmk01,2,EDA-TS,20270410,0.0,8.35995746932297,4.186676740646362,2
sdmk01,2,EDA-TS_no_m,20270410,87.00574693662483,112.0082696319328,4.186676740646362,1
sdmk01,2,EDA-TS_no_n,20270410,3.8078865529319543,12.083805077472206,4.186676740646362,2
sdmk01,2,EDA-TS_no_mn,20270410,77.92688881252735,132.5208386682855,4.186676740646362,5
sdmk02,1,EDA-TS,20280409,0.0,0.0,4.716841459274292,3
sdmk02,1,EDA-TS_no_m,20280409,134.50174720054753,245.47412614342375,4.716841459274292,5
sdmk02,1,EDA-TS_no_n,20280409,19.76581645164196,32.125451996317025,4.716841459274292,4
sdmk02,1,EDA-TS_no_mn,20280409,100.92076099594178,182.81299327298666,4.716841459274292,2
sdmk02,2,EDA-TS,20280410,0.0,0.6324555320336759,4.6785728931427,4
sdmk02,2,EDA-TS_no_m,20280410,38.495309959641695,169.13275061097065,4.6785728931427,3
sdmk02,2,EDA-TS_no_n,20280410,8.379870059984357,36.47108479561429,4.6785728931427,3
sdmk02,2,EDA-TS_no_mn,20280410,42.32906802659373,176.58394194781613,4.6785728931427,4
sdmk03,1,EDA-TS,20290409,37.04591745388417,16.547280743372912,10.160302877426147,5
sdmk03,1,EDA-TS_no_m,20290409,491.811749427563,1884.8362496543355,10.160302877426147,8
sdmk03,1,EDA-TS_no_n,20290409,45.08510470950097,63.4359913613715,10.160302877426147,3
sdmk03,1,EDA-TS_no_mn,20290409,860.1603048269549,1821.4236455397318,10.160302877426147,2
sdmk03,2,EDA-TS,20290410,15.717559182858727,11.8727270806074,11.81029725074768,12
sdmk03,2,EDA-TS_no_m,20290410,521.8810778089199,1522.935788358297,11.81029725074768,8
sdmk03,2,EDA-TS_no_n,20290410,6.864765108872991,27.784453864627633,11.81029725074768,4
sdmk03,2,EDA-TS_no_mn,20290410,912.0652998064947,1490.43374525197,11.81029725074768,3
sdmk04,1,EDA-TS,20300409,1.1294049564064943,3.5953765228309815,7.014302492141724,15
sdmk04,1,EDA-TS_no_m,20300409,16.91389960949278,102.65086891494795,7.014302492141724,5
sdmk04,1,EDA-TS_no_n,20300409,1.118033988749895,15.675640703234803,7.014302492141724,6
sdmk04,1,EDA-TS_no_mn,20300409,18.23458252881047,84.94533360803813,7.014302492141724,2
sdmk04,2,EDA-TS,20300410,5.716642371182581,11.343812829217683,6.1666038036346436,5
sdmk04,2,EDA-TS_no_m,20300410,112.77854405869938,193.3191928574036,6.1666038036346436,3
sdmk04,2,EDA-TS_no_n,20300410,4.00780488547035,23.21024350845626,6.1666038036346436,4
sdmk04,2,EDA-TS_no_mn,20300410,117.39534346245028,274.16436280402195,6.1666038036346436,3
sdmk05,1,EDA-TS,20310409,22.08317610006918,16.42582389310816,6.1565775871276855,9
sdmk05,1,EDA-TS_no_m,20310409,8.314979788844282,100.95539170420433,6.1565775871276855,6
sdmk05,1,EDA-TS_no_n,20310409,1.2777531299998799,12.129403042493458,6.1565775871276855,7
sdmk05,1,EDA-TS_no_mn,20310409,0.0,104.55201597732393,6.1565775871276855,2
sdmk05,2,EDA-TS,20310410,14.671893634085457,9.88232876501296,5.47041916847229,11
sdmk05,2,EDA-TS_no_m,20310410,13.995713629536723,126.15010349282191,5.47041916847229,5
sdmk05,2,EDA-TS_no_n,20310410,5.814851674806504,31.27257191375607,5.47041916847229,4
sdmk05,2,EDA-TS_no_mn,20310410,25.447112911989752,131.08009388203192,5.47041916847229,3
sdmk06,1,EDA-TS,20320409,0.4948716593053935,7.899706308544111,9.561802387237549,7
sdmk06,1,EDA-TS_no_m,20320409,643.7499514563088,1201.5914920006196,9.561802387237549,3
sdmk06,1,EDA-TS_no_n,20320409,46.35595970314928,37.534619804023315,9.561802387237549,4
sdmk06,1,EDA-TS_no_mn,20320409,636.1919696304113,1173.646146782957,9.561802387237549,3
sdmk06,2,EDA-TS,20320410,2.0,2.5351837584879964,9.332457780838013,2
sdmk06,2,EDA-TS_no_m,20320410,504.57643127676903,1039.7095120165784,9.332457780838013,4
sdmk06,2,EDA-TS_no_n,20320410,0.0,1.2018504251546631,9.332457780838013,2
sdmk06,2,EDA-TS_no_mn,20320410,649.9980769202322,901.3930489015379,9.332457780838013,2
sdmk07,1,EDA-TS,20330409,25.44607943436241,18.303904008009436,5.245742082595825,13
sdmk07,1,EDA-TS_no_m,20330409,78.52642867213561,458.9895539782603,5.245742082595825,5
sdmk07,1,EDA-TS_no_n,20330409,20.225293570180877,77.80091812341489,5.245742082595825,4
sdmk07,1,EDA-TS_no_mn,20330409,50.80354318352215,468.46776893508905,5.245742082595825,1
sdmk07,2,EDA-TS,20330410,9.468881783094677,17.154735110017413,5.219388246536255,12
sdmk07,2,EDA-TS_no_m,20330410,160.36217689273795,437.4361749740432,5.219388246536255,6
sdmk07,2,EDA-TS_no_n,20330410,40.86028022419817,135.8917574833417,5.219388246536255,4
sdmk07,2,EDA-TS_no_mn,20330410,100.30578248535824,528.6349013706938,5.219388246536255,2
sdmk08,1,EDA-TS,20340409,0.0,0.0,10.960843563079834,3
sdmk08,1,EDA-TS_no_m,20340409,106.55358589304569,461.66474216445795,10.960843563079834,3
sdmk08,1,EDA-TS_no_n,20340409,145.91607176730054,189.57123703757483,10.960843563079834,2
sdmk08,1,EDA-TS_no_mn,20340409,143.6462669198194,567.4886631552707,10.960843563079834,2
sdmk08,2,EDA-TS,20340410,0.0,29.606024677021573,10.848154544830322,9
sdmk08,2,EDA-TS_no_m,20340410,0.0,409.64464066632104,10.848154544830322,1
sdmk08,2,EDA-TS_no_n,20340410,6.1220911460055865,71.63459642706023,10.848154544830322,5
sdmk08,2,EDA-TS_no_mn,20340410,63.89574842402792,371.8250353144815,10.848154544830322,3
sdmk09,1,EDA-TS,20350409,0.0,20.256738599687925,12.072501420974731,6
sdmk09,1,EDA-TS_no_m,20350409,541.8101604805876,1546.7858700590075,12.072501420974731,2
sdmk09,1,EDA-TS_no_n,20350409,59.687729057152104,52.35349810933729,12.072501420974731,8
sdmk09,1,EDA-TS_no_mn,20350409,485.55272056126347,1574.1711336447208,12.072501420974731,3
sdmk09,2,EDA-TS,20350410,7.197910624297297,31.984222375644322,13.327181577682495,11
sdmk09,2,EDA-TS_no_m,20350410,310.9994640938577,1177.0289404846922,13.327181577682495,3
sdmk09,2,EDA-TS_no_n,20350410,9.89343216482531,75.94469146246021,13.327181577682495,5
sdmk09,2,EDA-TS_no_mn,20350410,558.5930987758442,1228.009992724308,13.327181577682495,2
sdmk10,1,EDA-TS,20360409,31.883761050886076,55.640695337158796,13.631419658660889,16
sdmk10,1,EDA-TS_no_m,20360409,562.034091492678,1982.4688484150429,13.631419658660889,5
sdmk10,1,EDA-TS_no_n,20360409,0.0,86.53722116470571,13.631419658660889,4
sdmk10,1,EDA-TS_no_mn,20360409,685.9771770984804,2315.825251955522,13.631419658660889,4
sdmk10,2,EDA-TS,20360410,0.0,12.093576868319968,13.931629419326782,12
sdmk10,2,EDA-TS_no_m,20360410,832.6579262951997,2657.106578837946,13.931629419326782,3
sdmk10,2,EDA-TS_no_n,20360410,32.47221034122014,125.60881056963976,13.931629419326782,3
sdmk10,2,EDA-TS_no_mn,20360410,654.8512765845727,2631.6920980881655,13.931629419326782,6
sdmk11,1,EDA-TS,20370409,0.7,14.776612082084213,7.942317247390747,10
sdmk11,1,EDA-TS_no_m,20370409,54.603113464343764,356.42179515723984,7.942317247390747,4
sdmk11,1,EDA-TS_no_n,20370409,54.431404334058634,179.11235150972618,7.942317247390747,6
sdmk11,1,EDA-TS_no_mn,20370409,73.10950690573696,456.75785166316206,7.942317247390747,1
sdmk11,2,EDA-TS,20370410,30.967240755353068,34.9384864353453,7.727731227874756,10
sdmk11,2,EDA-TS_no_m,20370410,78.1380544648736,686.1079096720885,7.727731227874756,3
sdmk11,2,EDA-TS_no_n,20370410,13.333333333333334,50.00352922859626,7.727731227874756,3
sdmk11,2,EDA-TS_no_mn,20370410,92.30283040080624,632.3454451540688,7.727731227874756,4
sdmk12,1,EDA-TS,20380409,5.493045941825743,24.328625717780877,9.420316219329834,11
sdmk12,1,EDA-TS_no_m,20380409,53.600373133029585,623.6760161192051,9.420316219329834,2
sdmk12,1,EDA-TS_no_n,20380409,37.32077169620157,56.39608547008512,9.420316219329834,5
sdmk12,1,EDA-TS_no_mn,20380409,90.70660119307745,755.7518363760569,9.420316219329834,4
sdmk12,2,EDA-TS,20380410,2.317736142542175,4.5458225231374465,9.514443635940552,11
sdmk12,2,EDA-TS_no_m,20380410,143.49041779854153,820.0632912639327,9.514443635940552,2
sdmk12,2,EDA-TS_no_n,20380410,25.866242479339746,29.70052979369857,9.514443635940552,4
sdmk12,2,EDA-TS_no_mn,20380410,88.08770881595483,858.0922884566872,9.514443635940552,3
sdmk13,1,EDA-TS,20390409,0.0,101.3084055531731,12.266313791275024,7
sdmk13,1,EDA-TS_no_m,20390409,267.51366787512,2707.869131419568,12.266313791275024,4
sdmk13,1,EDA-TS_no_n,20390409,48.37565587806178,185.64651334019325,12.266313791275024,7
sdmk13,1,EDA-TS_no_mn,20390409,324.90537083895674,2953.7466333787283,12.266313791275024,2
sdmk13,2,EDA-TS,20390410,23.6829612392797,53.62093460716276,12.637460231781006,14
sdmk13,2,EDA-TS_no_m,20390410,492.68070570885743,2365.491356379875,12.637460231781006,6
sdmk13,2,EDA-TS_no_n,20390410,18.21318203939114,264.5986391823026,12.637460231781006,5
sdmk13,2,EDA-TS_no_mn,20390410,803.0233885136846,2538.538613193784,12.637460231781006,4
sdmk14,1,EDA-TS,20400409,13.892443989449806,22.22478280477482,15.167612791061401,10
sdmk14,1,EDA-TS_no_m,20400409,265.54509974766995,892.6410681971038,15.167612791061401,5
sdmk14,1,EDA-TS_no_n,20400409,0.0,86.11918213710342,15.167612791061401,3
sdmk14,1,EDA-TS_no_mn,20400409,282.03276405410776,1261.934756288758,15.167612791061401,5
sdmk14,2,EDA-TS,20400410,0.0,28.476018514387302,15.894712686538696,8
sdmk14,2,EDA-TS_no_m,20400410,0.0,556.653981069672,15.894712686538696,1
sdmk14,2,EDA-TS_no_n,20400410,38.28919560398207,119.12898139380633,15.894712686538696,8
sdmk14,2,EDA-TS_no_mn,20400410,240.15157250740162,728.7127136936956,15.894712686538696,3
sdmk15,1,EDA-TS,20410409,37.24177761600539,23.484898077000242,19.67576766014099,10
sdmk15,1,EDA-TS_no_m,20410409,989.5619120488509,4296.313942363582,19.67576766014099,3
sdmk15,1,EDA-TS_no_n,20410409,0.0,19.075536338346232,19.67576766014099,3
sdmk15,1,EDA-TS_no_mn,20410409,1089.5742287701191,4949.408344072802,19.67576766014099,4
sdmk15,2,EDA-TS,20410410,7.9830066429715805,20.266372539170455,25.067917346954346,9
sdmk15,2,EDA-TS_no_m,20410410,855.8367250825358,2226.681828496202,25.067917346954346,4
sdmk15,2,EDA-TS_no_n,20410410,103.25134381692085,207.68778056454897,25.067917346954346,5
sdmk15,2,EDA-TS_no_mn,20410410,1178.2728885958466,2273.52338582841,25.067917346954346,2
